"1-molssaeavttut","1-valinnat"
"1 lt;2gt;","1 lt;2gt;"
"1 (2 3 bihtás","1 (2 bittiä 3 bitistä"
"1 (2 -3x 4 govvačuoggá","1 (2 -3×4 kuvapistettä"
"1 (2-oktiiheivvolaš","1 (2 yhteensopiva"
"1 (2x 3 govvačuoggá","1 (2×3 kuvapistettä"
"1 (liŋka","1 (linkki"
"1 (standárda","1 (oletus"
"1 (amas fiilašládja","1 (tuntematon tiedostotyyppi"
"1 (dálá","1 (nykyinen"
"1 (gid 2","1 (gid 2"
"1 (ii olamuttus","1 (saavuttamaton"
"1 (sullii","1 (arvio"
"1 (uid 2","1 (uid 2"
"1 (čabu xml-fiila","1 (flat xml-tiedosto"
"1 (čabu xml-fiillat","1 (pakkaamaton xml-tiedosto"
"1 / 2 gova vižžon.","1 kuva 2 kuvasta ladattu"
"1 aktivitehta","toiminto 1"
"1 bihttá (2","yksi kappale (2"
"1 bit/s","1 bit/s"
"1 dahje 2","1 tai 2"
"1 deaddejuvvo seammásgo caps lock lea aktiivalaš","paina 1 kun capslock on aktiivinen"
"1 deaddejuvvo seammásgo num lock lea aktiivalaš","paina 1 kun numlock on aktiivinen"
"1 deaddujuvvo seammásgo scroll lock lea aktiivalaš","paina 1 kun scrolllock on aktiivinen"
"1 dieđiha 2","viesti kohteesta 1 2"
"1 dieđut","tietoja ohjelmasta 1"
"1 fiilla gieđahallon","tiedostoja käsitelty 1"
"1 fiilla lea gustohis bargoárkasturrodat.","tiedostossa 1 on virheellinen työpöytätiedoston koko."
"1 fiillas ii leat gustojeaddji xml.","tiedosto 1 ei sisällä oikeaa xmlää."
"1 gullasaš barggut","1 työt"
"1 guorus 2s (3 geavahuvvon","1/2 (3 käytössä"
"1 gávdno, muhto ii leat dábálaš fiila","1 on olemassa muttei ole tavallinen tiedosto"
"1 iešvuođat","ominaisuudet, 1"
"1 ii doarjjo fiilamáŋgen","tiedostojen kopioimista kohteessa 1 ei tueta."
"1 ii doarjjo fiilasihkkun","tiedostojen poistamista kohteesta 1 ei tueta."
"1 ii doarjjo nammamolsuma fiillain dahje fiilasirdima.","tiedostojen uudelleennimeämistä tai siirtämistä kohteessa 1 ei tueta."
"1 ii leat fiila.","1 ei ole tiedosto."
"1 ii leat máhppa","1 ei ole kansio"
"1 ii leat objeaktašládja","1 ei ole objektityyppi"
"1 ii leat olamuttus, muhto bálvá gáibida dan.","palvelin vaatii 1n, mutta sitä ei ole saatavilla."
"1 ivnnit","1 väriä"
"1 ivnnit 2","1 väriä 2"
"1 lassemodula ii gávdnon.","1-laajennusta ei löytynyt."
"1 lea fiila, muhto máhppa vurdejuvui.","1 on tiedosto, mutta odotettiin kansiota."
"1 lea guođđán čátta (2).","1 on poistunut keskustelusta (2)."
"1 lea guođđán čátta.","1 on poistunut keskustelusta."
"1 lea máhppa, muhto fiila vurdojuvui.","1 on kansio, mutta odotettiin tiedostoa."
"1 lea searvan čáttii.","1 on liittynyt keskusteluun."
"1 lea vuolláičállán reivve.","viestin allekirjoitti 1"
"1 lea čállimin dieđu","1 kirjoittaa viestiä"
"1 leat čállimin dieđu","1 kirjoittavat viestiä"
"1 mearkkuš válljejuvvon","1 tietue valittuna"
"1 min.","1 min."
"1 nevvojuvvon radio (beakkánvuohta 2","käyttäjän \ 1\ suositukset (suosio 2"
"1 prográmma lasihuvvui kde-fáluide.","1 sovellus lisättiin kden valikoihin."
"1 reive sáddejuvvon gárgadasas.","1 jonottava viesti lähetetty onnistuneesti"
"1 stivrran","1 ajuri"
"1 vuollemáhppa","1 alikansio"
"1 x 2","1 x 2"
"1 álggahuvvo","käynnistä 1"
"1 čuoggá bonus","1 pistettä bonus"
"1 čuoggá čuoggát oktibuot dán dásis","1 pistettä yhteispisteet tälle tasolle"
"1 -2x 3 govvačuoggá","1 - 2×3 kuvapistettä"
"1 - amas geavaheaddjibálggis","1 - tuntematon userpathin tyyppi"
"1 - amas šládja","1 - tuntematon tyyppi"
"1, 2 3 čálii 4 5","f kirjoitti viestissään (lähetysaika d"
"1, 2 ii leat meroštuvvon","1, 2 ei ole määritelty"
"1, geavaha 2 bihtá 3-bihtásaš čoavdda","1, käyttää 2 bittiä 3-bittisestä avaimesta"
"1-giehtagirji","1-käyttöohje"
"1-bibliotehka ii leat kwin-lassemodula","kirjasto 1 ei ole kwin-liitännäinen."
"1-bálvá boatkimin oktavuođa.","1 palvelin katkaisen yhteyden."
"1-fiila","1-tiedosto"
"1-girjemearkkat","1 kirjanmerkkiä"
"1-heivehusat","sovelman 1 asetukset"
"1-lasáhussajáiduhtti","1-lisäosien asentaja"
"1-mearka gávdno juo","luokitusmerkintä 1 on jo olemassa"
"1-modula ii leat gustojeaddji heivehusmodula.","moduuli 1 ei ole oikeanlainen asetusmoduuli."
"1-modula ii leat jođus.","moduuli 1 on pois käytöstä."
"1-protokolla ii doarjjo 2-doaimma","protokolla 1 ei tuo toimintoa 2."
"1-protokolla ii lea sillenprotokolla","protokolla 1 ei ole suodinprotokolla"
"1-protokolla ii leat sillenprotokolla","protokolla 1 ei ole suodinprotokolla."
"1-protokolla proseassa jámii báifáhkka.","protokollan 1 prosessi loppui odottamattomasti."
"1-protokollain ii leat vejolaš rahpat fiillaid.","protokolla 1 ei tue tiedostojen avaamista."
"1-protokollain ii leat vejolaš rievdadit fiilaattribuhtaid","tiedostojen ominaisuuksien muuttamista protokollan 1 avulla ei tueta."
"1-protokollain ii leat vejolaš rievdadit fiilla oamasteaddji.","protokolla 1 ei tue tiedostojen omistajuuksien muuttamista."
"1-protokollain ii leat vejolaš ráhkadit máhpaid","kansioiden luomista protokollan 1 avulla ei tueta."
"1-protokollas ii leat máhppabálvalus","protokolla 1 ei toteuta kansiopalvelua"
"1-sisafievrrideapmi","1 tuo"
"1. sivva 2","1. syy 2"
"1/s (geargan","1 (valmis"
"1 amas fiilašládja, iige ohcu dahje fiila.","1 tuntematon tiedostotyyppi, joko hakemisto tai tiedosto."
"1 njuvdde","1 voidemainen"
"1 tty-sisačáliheapmi","1 tty-kirjautuminen"
"1as lea maiddái namma 2","1 on nykyään 2"
"1@2 (3) barggu attribuhtat","työn 1@2 (3) ominaisuudet"
"2 lea čállán 1","ohjelman 1 ovat luoneet 2"
"2 (1 k","2 (1 k"
"2 / 1 fiila","2 / 1 tiedostosta"
"2 / 1 máhppa","2 / 1 kansio"
"2 1 govvačuokkis","2 pikseli"
"2 lea dál 1.","2 on nyt 1."
"2 vuolláičálii reivve 1 čoavdagiin.","viestin allekirjoitti 2 avaimella 1."
"2 vuolláičálii reivve (čoavdda-id 1).","viestin allekirjoitti 2 (avain-id 1)."
"2 1 fiillas","2 yhdestä tiedostosta"
"3 (1 x 2","1 (2 x 3"
"3 vuolláičálii reivve 1, 2 čoavdagiin.","viesti allekirjoitettiin 1 avaimella 2, sen allekirjoitti 3"
"apop","apop"
"agibeavái","pysyvästi"
"aicca automáhtalaččat","tunnista automaattisesti"
"aktivere boahtte gilkora","aktivoi seuraava välilehti"
"aktivere ovddit gilkora","aktivoi edellinen välilehti"
"alde","käytössä"
"ale geavat duođaštusaid","älä käytä varmenteita"
"ale gidde go gohččun geargá.","älä sulje komennon loputtua"
"ale gidde go gohččun heaittihuvvo","älä sulje kun komento on suoritettu"
"ale kryptere","älä salaa"
"ale vuolláičále","älä allekirjoita"
"ale čálit teavstta","älä tulosta tekstiä"
"ale šat easttat oktavuođa","salli yhteystieto"
"alit","sininen"
"antivirusofelaš","ohjattu virusten suodatus..."
"artihkal","artikkeli"
"artista","artisti"
"asat","tasaus"
"atte nama ivdnečoahkkádussii","syötä väriteeman nimi"
"automahtalaš ruođut","automaattisulut"
"automáhtalaš guovdduštuvvun čállinmearka (linnját","keskitä kohdistin automaattisesti"
"automáhtalaš ođđasitrehkenastin","automaattinen uudelleenlaskenta"
"automáhtalaš čállindárkkisteapmi","automaattinen oikoluku"
"autoođasmahte","päivitä automaattisesti"
"badjelgeahča jearahuvvon sajádaga","älä huomioi pyydettyä geometriaa"
"badjelgeahča mearkakodema","pakota merkkien koodaus"
"badjelgeahča rievdadusaid","hylkää muutokset"
"badjelgeahča 'the' artisttaid namain","jätä \the\-artikkeli huomioimatta"
"badjin","ylä"
"bajilčállagat","otsikkotiedot"
"bajit rádji","yläraja"
"bargoovdavuorru","työn tärkeysjärjestys"
"bargočujuhus","työosoite"
"beaivi","päivä"
"beaivi","päivä"
"beaivvi bokte","päivämäärän mukaan"
"beaivválaččat","päivittäin"
"beallenjuođvvas","puoliläpinäkyvä"
"bihttá","kappale"
"bija alarbma ala","käytä varoituksia"
"bija earromearkka sisa","lisää erotin"
"bija fontta ...","aseta kirjasin..."
"bija mu almmolaš čoavdaga fárrui","liitä oma julkinen avain"
"bija oidnosii vuogádatgarccus","aseta ilmoitusalueelle"
"bija ođđa nama profilii","uudelleennimeä profiili"
"bija sisa fiilla ...","lisää tiedosto..."
"bija stáhtusa","aseta tila"
"bija álggahanávaštusa doaibmat","käytä käynnistyksen ilmaisemista"
"bija čálána johtui","käynnistä tulostin"
"bisset čuovvovaš cealkagis","pysäytä seuraavaan lausekkeeseen"
"boahtte >>","seuraava >>"
"boahtte artihkal","seuraava artikkeli"
"boahtte goarta","seuraava kortti"
"boahtte siidu","seuraava sivu"
"boahtte vahkku","seuraava viikko"
"boallobeavdesillit","näppäimistösuotimet"
"boalut","painikkeet"
"boastaboksaformáhtta","postilaatikon formaatti"
"boastanummir","postinumero"
"bohtosat","tulokset"
"bonja ...","väännä..."
"buhtte","korvaa"
"buhtte dálá vuollesumiid","korvaa nykyiset välisummat"
"buhtte gaskkaid vuollesárgáiguin","korvaa välilyönnit alaviivalla (_"
"buhttenteaksta","korvausteksti"
"buillar","keskustelu"
"buoidi","lihavoitu"
"buoremus čuoggát","parhaat tulokset"
"buot bajilčállagat","kaikki otsikkotiedot"
"buot giettit","kaikki kentät"
"buot čállinbevddiide","kaikille työpöydille"
"buresboahtin","tervehdys"
"buvttadeaddji","valmistaja"
"bábirgáldu","paperin lähde"
"bábirsturrodat","paperin koko"
"báikkálaš fiillat","paikalliset tiedostot"
"báikkálaš heivehusat","maa-asetukset"
"báikkálaš hápmi (1","paikallinen muoto (1"
"báikkálaš sisačáliheapmi","paikallinen kirjautuminen"
"báikkálaš","paikallisesti"
"bákkolaččat maŋŋá áigemeari","pakota aikalisän jälkeen"
"bálkes olggos '1'","poista 1"
"bálvá","palvelin"
"ceaggu","pystysivu"
"ceaggu,veallu","pysty,vaaka"
"ceaggu","vertikaalinen"
"cealkka jos linnjáloahppa lea cealkkaloahppa","lause jos rivin loppu on lauseen loppu"
"coahkkal oktii rahpandihte fiillaid ja máhpaid","yksi napsautus avaa tiedostot ja kansiot"
"cokka vuogádatgárcui","sijoita ilmoitusalueelle"
"dbus-registreren","d-bus-rekisteröinti"
"der/asn 1","der/asn 1"
"digest-md 5","digest-md 5"
"daga ođđasit","tee uudelleen"
"daga ođđasit 1","tee uudelleen 1"
"deavasšearbma","kokoruutu"
"desimálamearka","desimaalimerkki"
"diehtobálvá","viestipalvelin"
"diehtovuođus ...","tietokannasta..."
"dieđut doaimmahanoasis","tietoja editorista"
"dieđut čállinprográmmaoasis","tietoja editorikomponentista"
"dieđáhusa siskkobealde ...","sisällytä..."
"digitálalaš šearbma","digitaalinen näyttö"
"doaibmanvuohki","käytännöt"
"doaimma dása","käsittele"
"doaimmat","toiminnot"
"doaimmat attribuhta ...","muokkaa ominaisuuksia..."
"doaimmat bihttádieđuid","muokkaa kappaleen sisältökuvauksia..."
"doaimmat dieđáhusa","muokkaa viestiä"
"doaimmat dovddana ...","muokkaa sensoria..."
"doaimmat dáhpahusa ...","muokkaa tapahtumaa..."
"doaimmat girjemearkkaid","muokkaa kirjanmerkkejä"
"doaimmat gohččuma ...","muokkaa komentoa..."
"doaimmat printcap-merkoša ...","muokkaa printcap-tietuetta..."
"doaimmat sisdoalu ...","muokkaa sisältöä..."
"doaje linnjáid dáppe","rivinvaihtokohta"
"doala čiehkámuittu áigeguovdilin","pidä välimuisti ajan tasalla"
"doalat","pysäytetty"
"doalat dán láse rabas maŋŋá viežžama","pidä ikkuna auki latauksen päätyttyä"
"doalat earáid bajábealde","pidä muiden yläpuolella"
"doarjut kde","tue kde-projektia"
"dohkket autorisašuvnna","lähetä tunnistautuminen"
"dohkket heivehusa","hyväksy asetukset"
"domena namma","verkkoalueen nimi"
"dorjojuvvon fiilašlájat","tuetut tiedostotyypit"
"duháhiid earromearka","tuhaterotin"
"dulbe girjemearkamuora","litistä kirjanmerkkipuu"
"duohta sturrodat","todellinen koko"
"duohtta namma","oikea nimi"
"duođaštus","sertifikaatti"
"duođáš","tarkista"
"duppalastte dálá gilkora","kahdenna välilehti"
"dušše dán diehtočoahku","vain tämä eväste"
"dušše logahahtti doaibmanvuohki","vain luku -tila"
"dušše sihko boares dáhpahusaid, ale vurke","poista arkistoimatta"
"dušše čoahkkáigeassu","vain yhteenveto"
"dynámalaš linnjámáhccun","dynaaminen rivinvaihto"
"dábálaš","normaali"
"dábálaš bajilčállagat","vakiot otsikkotiedot"
"dábálaš kontu","tavallinen tunnus"
"dábálaš čájeheapmi","normaalinäkymä"
"dábálaš","normaali"
"dáhpahusat","tapahtumat"
"dáhta","tiedot"
"dálá beassansátni","nykyinen salasana"
"dálá doaimmat","nykyiset toiminnot"
"dálá čállinbeavdái","nykyiselle työpöydälle"
"dán","näkyvä sivu"
"dárkilis konvertere (x)htmlii oktan cssain","laaja muunna (x)htmlksi cssn kanssa"
"dárkis heivehusa","tarkista asetukset"
"dássegovddat fonta","tasalevyinen kirjasin"
"dássi","määrä"
"e-boasta-fievrrideapmi","postinvälitys"
"e-boasta","sähköposti"
"ealjoheapme","jouten"
"eanet effeavttat ...","lisää tehosteita..."
"earut stuorra ja smávva bustávaid","sama kirjainkoko"
"eará","muut"
"eará doaimmat","muut toiminnot"
"eará koden","muu koodaus"
"eará ...","muu..."
"easttat fohkus-suoládeapmi","kohdistus poistaa suojauksen"
"easttat oktavuođa","estä yhteystieto"
"effeakta","tehoste"
"ekspearta","asiantuntija"
"emoticonat","hymiöt"
"erenoamáš beassanvuoigatvuođat","tarkemmat käyttöoikeusasetukset"
"erenoamáš láseheivehusat ...","ikkunan erikoisasetukset..."
"erenoamáš mearka ...","erikoismerkki..."
"erenoamáš prográmmaheivehusat ...","sovelluksen erikoisasetukset..."
"eret-diehtu","poissaoloviesti"
"evttohus","ehdotus"
"fcntl","fcntl"
"ftp","ftp"
"fala heaittihanmolssaeavttut","näytä sammutusvaihtoehdot"
"fantasy-fonta","fantasiakirjasin"
"feará mii","sekalaiset"
"fierpmádatmáhppa (webdav","webkansio (webdav"
"fiilasirdin","tiedostonsiirto"
"fiilašládja","tiedostotyyppi"
"fiillat","tiedostot"
"fitnodat","yritys"
"fonta","kirjasin"
"fontastiila","kirjasintyyli"
"fontasturrodat ásaheampi dán mearkakodema várás","kirjasinkoon korjaus tälle koodaukselle"
"formáhtta","muoto"
"funkšuvdna","funktio"
"funkšuvdna ...","funktio..."
"fuolaheapmi","hallinta"
"fáddásajáiduhtti","teema-asentaja"
"fáksa/modemaovttadat","fax/modeemilaite"
"fáksa","faksi"
"fárddalaš bajilčállagat","muotoillut otsikkotiedot"
"fárddalaš hápmi (1","hieno muoto (1"
"galgga '1'","irrota \ 1\"
"galgga čátta","irrota keskustelu"
"gamma (ivdnedivvodeapmi","gamma (värin oikaisu"
"gamma","gamma"
"gaskageardan fontasturrodat","kirjasimen keskikoko"
"gaskasumit ...","välisummat"
"gađa 1","kumoa 1"
"geahppáneaddji sorteren","lajittele laskevasti"
"geahča earuid","näytä erot"
"geahččal čálána ...","kokeile tulostinta..."
"gearddut","toista tiettynä päivänä"
"gearddut beassansáni","toista salasana"
"geavaheaddji","käyttäjä"
"geavaheaddjiidentifikáhtor","käyttäjän tunniste"
"geavahišgoađe","aktivoi"
"geavat kmail oidojuvvon e-boastaprográmman","käytä kmailia sähköpostiohjelmana"
"geavat konsole terminálprográmman","käytä konsolea pääteikkunaohjelmana"
"geavat boallobeavdekárttaid","ota näppäimistöasetukset käyttöön"
"geavat dušše čáhpes peanna","käytä vain mustaa kynää"
"geavat fiila-listtu","käytä tiedostoindeksejä"
"geavat gohččuma","käytä komentoa"
"geavat iesdefinerejuvvon message-id-suffivssa","käytä omaa message-id-päätettä"
"geavat iesdefinerejuvvon reivemálliid dán identitehta várás","käytä mukautettuja viestipohjia"
"geavat iežat listtu","käytä omaa luetteloa"
"geavat jierbmesgoarta doarjaga","ota smartcard-tuki käyttöön"
"geavat jierbmás bájuhusa","käytä älykästä lainausta"
"geavat krypterema","käytä salausta"
"geavat oaidnus signála","käytä visuaalista äänimerkkiä"
"geavat olgguldas prográmma ovdačájeheapmái","käytä ulkoista esikatseluohjelmaa"
"geavat seamma sturrodaga buot áđain","käytä samaa kokoa kaikille elementeille"
"geavat standárdduođaštusa","käytä oletusvarmennetta"
"geavat stivrenguovddáža heivehusaid","käytä ohjauskeskuksen asetuksia"
"geavat vuogádatsignála iige vuogádatmuittuhusaid","käytä järjestelmän äänimerkkiä huomautusten sijasta"
"geavat čiehkámuittu","käytä välimuistia"
"geavat šearbmadieđuid","käytä kuvaruutunäyttöä"
"geometriija","geometria"
"gidde buot čájehemiid","sulje kaikki näkymät"
"gidde burssa","sulje lompakko"
"gidde láse","sulje ikkuna"
"gidde čátta","sulje keskustelu"
"giddehahtti","suljettava"
"giddes molssaeavttut","pysyvä valinta"
"giella","kieli"
"gilkorásahus","välilehden sijoittaminen"
"goargu","sukunimi"
"gohččun","komento"
"gorolaččat","säilytä kuvasuhde"
"govakeahttá","ei kuvaa"
"govašin","kuvakkeina"
"govažat,listu,muorra","kuvakkeet,lista,puu"
"govdes čájeheapmi","laajakuvanäkymä"
"govva","kuva"
"guhkes bájilčállagat","pitkät otsikkotiedot"
"guhkkodat","kesto"
"guorus","ei mikään"
"guossekontu (geavaheaddjinamma 'guest'","vierastunnus (käyttäjätunnus=\"guest\""
"guossoheaddje- dahje domenanamma","koneen tai verkkoalueen nimi"
"guossoheaddjenamma","isäntänimi"
"guođe vižžojuvvon e-boastta bálvái","jätä haetut viestit palvelimelle"
"gurgadus","rivi"
"gurre buot ruskalihtiid","tyhjennä kaikki roskakorikansiot"
"gurre čiehkámuittu","tyhjennä välimuisti"
"gurut boallu","vasen painike"
"gurutbealde","vasemmalle"
"gáibit beassansáni vai bissehit","vaadi salasana pysäyttämiseksi"
"gáiddus lpd-gárgadas","lpd-etäjono"
"gáiddus fiillat","etätiedostot"
"gáiddus sisačáliheapmi","etäkirjautuminen"
"gáldu","lähde"
"html 4.0 1","html 4.0 1"
"heaitte dieđuid čoaggimis","lopeta lokiin kirjoitus"
"heaittit dán bargovuoru","lopeta istunto"
"heaittit spealu","päätä peli"
"heivehusfiilla ohcančikŋodat","hakusyvyys asetustiedostolle"
"heivet 1 ...","muokkaa ohjelman 1 asetuksia..."
"heivet kmaila ...","kmailin asetukset..."
"heivet klipper ...","klipperin asetukset..."
"heivet buot fonttaid ...","muokkaa kaikkia kirjasimia..."
"heivet láseláhtema ...","ikkunoiden asetukset..."
"heivet čállinprográmma ...","editorin asetukset..."
"hilggo","hylkää"
"hilggo autorisašuvnna","hylkää hyväksyntä"
"hilggo meattáhusdieđiheami","kytke virheenilmoitus pois päältä"
"hilggo visot","hylkää kaikki"
"hoahppu","kiireinen"
"hupmamuš","puhe"
"ip","ip"
"identitehta","henkilöllisyys"
"identitehtat mat juo gávdnojit","olemassa olevat henkilöydet"
"iešvuođat","ominaisuudet"
ii goassege","ei koskaan"
"ii iskat guoros seallaid rievdadusaid ozadettiin","ohita tyhjät solut kun muutoksia etsitään"
"ii makkárge (leage várrogas","ei mikään (käytä varoen"
"ii mihkkige","ei mitään"
"ii rámma","ei kehyksiä"
"ii-laktašuvvon fierpmádatlohkan modus","offline-tila"
"info-siiddut","infosivut"
"invertere","käännä"
"ivdnečuohkkádus","väriteema"
"ivdni","väri"
"jahki","vuosi"
"jahkásaččat","vuosittain"
"jaskkodahte","vaimennettu"
"java","java"
"java-doaibmanvuohki","javakäytäntö"
"jearat","kysy"
"jearbmás","lähettäjän ehdottamalla tavalla"
"jienás go goarta bidjojuvvo sisa ja váldejuvvo eret","piippaa korttia lisättäessä ja poistettaessa"
"jietnadássi","äänenvoimakkuus"
"jietnadássádat","taajuuskorjain"
"jietnasignála","äänimerkki"
"joatkke sáddemis","jatka lähettämistä"
"jorat diimmu mielde","kierrä myötäpäivään"
"jorat siiddu","käännä sivua"
"jorat ...","kierrä..."
"jorgalahte ...","käännä..."
"journála","päiväkirja"
"juoge kanálaid","jaa kanavat"
"jáddadit ...","sammuta..."
"kde-veahkki","kden ohje"
"kanálat","kanavia"
"klieanta","sanakirjakirjasto"
"kodamáhccun","koodin laskostus"
"koden","koodaus"
"koden","koodaus"
"kommeanta","kommentti"
"komponista","säveltäjä"
"komprimere buot máhpaid","tiivistä kaikki kansiot"
"kontonamma","tilin nimi"
"kontooidimat","tilin asetukset"
"kontuat","tilit"
"kryptere","salaa"
"kryptere buot osiid","salaa kaikki osat"
"kryptere dán oasi","salaa tämä osa"
"kryptografálaš reiveformáhtta","viestien salausmuoto"
"login","login"
"laiggahat","taso"
"laktašuvvon","paikalla"
"lasit girjemearkka","lisää kirjanmerkki"
"lasit gáldu ...","lisää virtaustoisto..."
"lasit iešdefinerejuvvon ivnniide.","lisää omiin väreihin"
"lasit joavkku ...","lisää ryhmä..."
"lasit konttu ...","lisää tili..."
"lasit lohppii","lisää loppuun"
"lasit media ...","lisää sisältöä..."
"lasit oktavuohtalistui","lisää yhteystietoluetteloon"
"lasit oktavuođa","lisää yhteystieto"
"lasit vuolleoktavuođa","lisää aliyhteystieto"
"lasit áisttonmearkkaid","lisää lainausmerkit"
"lassemoduvllaid giehtagirji","liitännäisten käsikirja"
"lassáneaddji sorteren","lajittele nousevasti"
"leavttu badjerádji","enimmäisnopeus"
"lihcu dán gaskka","pois jätettävät"
"liibme","liitä"
"liibme fiillas ...","liitä tiedostosta..."
"liibme sisa fiilla","liitä tiedosto"
"liibme sisa čujuhusa","liitä osoite"
"liibme sisa čuohppusbeavddi sisdoalu","liitä leikepöydän sisältö"
"liigeohcu","ylimääräinen hakemisto"
"linnjá loahppa","rivin loppu (eol"
"linnjágráfa","viivakaavio"
"linnjámolsun dokumeanttas","rivitä asiakirja"
"linnjámolsun","rivin loppu (eol"
"linux","linux"
"liseansašiehtadus","lisenssi"
"livkke šearpma","väläytä näyttöä"
"liŋka ...","linkki..."
"loahpahanbeaivi","loppupäivä"
"loahpahanmánnu","loppukuukausi"
"logakeahtes","lukematta"
"logo","logo"
"logut","luvut"
"ludde čájeheami","jaa näkymä"
"lágit","luokat"
"lágit objeavttaid","järjestä objekteja"
"láselohkkadanavádat","ikkunoiden tartunta-alue"
"lásečikŋa","ikkunoiden kehysteema"
